State,Total,Black,White,Latino/a,Native American,Asian,Unknown
AL,191,92,97,2,0,0,0
AZ,128,12,91,21,3,1,0
AR,38,22,16,0,0,0,0
CA,648,233,253,128,14,20,0
CO,3,2,0,1,0,0,0
CT,8,3,3,2,0,0,0
DE,19,6,10,3,0,0,0
FL,388,133,219,34,1,1,0
GA,112,54,54,3,0,1,0
ID,21,0,21,0,0,0,0
IL,10,3,5,2,0,0,0
IN,30,8,22,0,0,0,0
KS,7,2,5,0,0,0,0
KY,37,8,28,1,0,0,0
LA,89,57,29,2,0,1,0
MD,9,6,3,0,0,0,0
MS,70,36,33,0,0,1,0
MO,55,23,32,0,0,0,0
MT,4,0,4,0,0,0,0
NE,10,1,6,3,0,0,0
NV,85,34,42,8,0,1,0
NJ,14,7,7,0,0,0,0
NM,2,0,2,0,0,0,0
NY,2,1,1,0,0,0,0
NC,192,105,71,4,10,2,0
OH,196,98,92,2,2,2,0
OK,97,38,51,2,6,0,0
OR,32,2,26,2,1,0,1
PA,233,143,70,18,0,2,0
SC,77,40,37,0,0,0,0
SD,4,0,4,0,0,0,0
TN,108,43,60,1,2,2,0
TX,414,172,128,110,0,4,0
UT,10,2,6,1,1,0,0
VA,23,13,10,0,0,0,0
WA,10,4,6,0,0,0,0
WY,2,0,2,0,0,0,0
US Gov.,36,23,12,0,1,0,0
Military,8,6,1,0,0,1,0
TOTAL,3422,1432,1559,350,41,39,1
