state,total,black,white,latino/a,native american,asian,unknown
AL,207,99,105,3,0,0,0
AZ,129,13,91,21,4,0,0
AR,42,25,17,0,0,0,0
CA,678,244,252,148,12,22,0
CO,3,2,0,1,0,0,0
CT,10,6,3,1,0,0,0
DE,20,10,7,3,0,0,0
FL,402,139,224,36,1,2,0
GA,109,51,54,3,0,1,0
ID,18,0,18,0,0,0,0
IL,15,5,8,2,0,0,0
IN,17,4,13,0,0,0,0
KS,10,4,6,0,0,0,0
KY,36,6,29,1,0,0,0
LA,84,53,27,3,0,1,0
MD,5,4,1,0,0,0,0
MS,61,32,28,0,0,1,0
MO,52,22,30,0,0,0,0
MT,2,0,2,0,0,0,0
NE,10,1,5,4,0,0,0
NV,79,31,39,8,0,1,0
NH,1,1,0,0,0,0,0
NM,2,0,2,0,0,0,0
NC,167,88,65,4,9,1,0
OH,181,93,81,3,2,2,0
OK,86,34,45,3,4,0,0
OR,35,3,28,2,1,0,1
PA,226,136,70,18,0,2,0
SC,63,33,29,1,0,0,0
SD,3,0,3,0,0,0,0
TN,92,39,48,1,2,2,0
TX,358,143,107,104,0,4,0
UT,10,1,6,2,1,0,0
VA,18,9,8,1,0,0,0
WA,9,4,5,0,0,0,0
WY,1,0,1,0,0,0,0
Federal,55,30,22,2,1,0,0
Military,9,6,2,0,0,1,0
