state,total,black,white,latino/a,native american,asian,unknown
AL,204,99,102,3,0,0,0
AZ,129,13,91,21,4,0,0
AR,42,25,17,0,0,0,0
CA,684,247,252,151,12,22,0
CO,3,2,0,1,0,0,0
CT,10,6,3,1,0,0,0
DE,20,10,7,3,0,0,0
FL,404,141,224,36,1,2,0
GA,108,51,53,3,0,1,0
ID,18,0,18,0,0,0,0
IL,15,5,8,2,0,0,0
IN,17,4,13,0,0,0,0
KS,11,4,7,0,0,0,0
KY,36,6,29,1,0,0,0
LA,84,53,27,3,0,1,0
MD,5,4,1,0,0,0,0
MS,61,32,28,0,0,1,0
MO,52,22,30,0,0,0,0
MT,2,0,2,0,0,0,0
NE,11,2,5,4,0,0,0
NV,79,31,39,8,0,1,0
NH,1,1,0,0,0,0,0
NM,2,0,2,0,0,0,0
NC,168,88,66,4,9,1,0
OH,178,90,81,3,2,2,0
OK,85,33,45,3,4,0,0
OR,35,3,28,2,1,0,1
PA,224,136,68,18,0,2,0
SC,62,33,28,1,0,0,0
SD,3,0,3,0,0,0,0
TN,91,39,47,1,2,2,0
TX,348,136,108,100,0,4,0
UT,10,1,6,2,1,0,0
VA,17,8,8,1,0,0,0
WA,9,4,5,0,0,0,0
WY,1,0,1,0,0,0,0
Federal,55,30,22,2,1,0,0
Military,8,6,1,0,0,1,0
