state,total,black,white,latino/a,native american,asian,unknown
AL ,201,104,93,3,0,1,0
AZ ,123,15,77,26,3,2,0
AR ,34,21,13,0,0,0,0
CA ,743,269,257,180,12,25,0
CO ,3,3,0,0,0,0,0
CT ,11,6,4,1,0,0,0
DE ,18,11,4,3,0,0,0
FL ,404,148,221,32,1,2,0
GA ,94,46,45,3,0,0,0
ID ,12,0,12,0,0,0,0
IN ,14,3,11,0,0,0,0
KS ,10,4,6,0,0,0,0
KY ,34,5,29,0,0,0,0
LA ,89,59,26,3,0,1,0
MD ,5,4,1,0,0,0,0
MS ,48,26,21,0,0,1,0
MO ,44,17,27,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,11,2,4,5,0,0,0
NV ,79,29,41,8,0,1,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,161,82,65,5,8,1,0
OH ,143,76,62,3,0,2,0
OK ,50,21,24,2,3,0,0
OR ,35,3,27,3,1,0,1
PA ,194,108,68,17,0,1,0
SC ,48,27,20,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,75,33,38,1,1,2,0
TX ,276,113,77,81,0,5,0
UT ,9,1,5,2,1,0,0
VA ,8,3,4,1,0,0,0
WA ,9,4,5,0,0,0,0
WY ,1,0,1,0,0,0,0
Federal ,59,28,23,6,1,1,0
Military ,6,3,3,0,0,0,0
