state,total,black,white,latino/a,native american,asian,unknown
AL,181,93,86,2,0,0,0
AZ,121,18,71,25,4,3,0
AR,32,17,14,1,0,0,0
CA,733,264,244,187,10,28,0
CO,3,3,0,0,0,0,0
FL,349,134,190,22,1,2,0
GA,53,28,22,3,0,0,0
ID,8,0,8,0,0,0,0
IN,9,2,7,0,0,0,0
KS,10,3,7,0,0,0,0
KY,31,5,26,0,0,0,0
LA,69,46,20,3,0,0,0
MS,45,25,18,1,0,1,0
MO,24,7,17,0,0,0,0
MT,2,0,2,0,0,0,0
NE,12,3,3,6,0,0,0
NV,74,28,34,10,0,2,0
NH,1,1,0,0,0,0,0
NM,2,0,2,0,0,0,0
NC,143,76,54,5,7,1,0
OH,141,79,57,3,0,2,0
OK,47,21,21,2,3,0,0
OR,32,2,25,3,1,0,1
PA,155,83,55,14,0,3,0
SC,38,21,16,1,0,0,0
SD,2,0,2,0,0,0,0
TN,58,28,27,1,0,2,0
TX,225,98,61,62,0,4,0
UT,8,1,5,1,1,0,0
VA,3,2,1,0,0,0,0
WY,1,0,1,0,0,0,0
Federal,61,25,27,7,1,1,0
Military,4,2,2,0,0,0,0
