state,total,black,white,latino/a,native american,asian,unknown
AL,190,94,94,2,0,0,0
AZ,125,13,89,20,3,0,0
AR,38,24,14,0,0,0,0
CA,649,232,251,131,14,21,0
CO,2,1,0,1,0,0,0
CT,8,3,3,2,0,0,0
DE,18,6,9,3,0,0,0
FL,388,136,216,34,1,1,0
GA,109,51,54,3,0,1,0
ID,20,0,20,0,0,0,0
IL,10,3,5,2,0,0,0
IN,26,8,18,0,0,0,0
KS,8,3,5,0,0,0,0
KY,37,8,28,1,0,0,0
LA,85,54,28,2,0,1,0
MD,8,5,3,0,0,0,0
MS,65,33,31,0,0,1,0
MO,53,22,31,0,0,0,0
MT,4,0,4,0,0,0,0
NE,10,1,6,3,0,0,0
NV,83,32,42,8,0,1,0
NJ,13,6,7,0,0,0,0
NM,2,0,2,0,0,0,0
NY,1,1,0,0,0,0,0
NC,190,104,72,3,10,1,0
OH,196,98,91,3,2,2,0
OK,91,33,51,2,5,0,0
OR,33,3,26,2,1,0,1
PA,231,140,71,18,0,2,0
SC,74,38,36,0,0,0,0
SD,4,0,4,0,0,0,0
TN,108,43,60,1,2,2,0
TX,409,170,124,111,0,4,0
UT,9,1,6,1,1,0,0
VA,22,12,10,0,0,0,0
WA,10,4,6,0,0,0,0
WY,2,0,2,0,0,0,0
Federal,40,23,16,0,1,0,0
Military,9,6,2,0,0,1,0
