state,total,black,white,latino/a,native american,asian,unknown
AL,191,94,95,2,0,0,0
AZ,126,13,90,20,3,0,0
AR,38,24,14,0,0,0,0
CA,652,232,252,133,13,22,0
CO,2,1,0,1,0,0,0
CT,8,3,3,2,0,0,0
DE,17,6,8,3,0,0,0
FL,392,137,219,34,1,1,0
GA,107,50,53,3,0,1,0
ID,20,0,20,0,0,0,0
IL,9,2,5,2,0,0,0
IN,24,8,16,0,0,0,0
KS,8,3,5,0,0,0,0
KY,37,8,28,1,0,0,0
LA,88,56,29,2,0,1,0
MD,8,5,3,0,0,0,0
MS,67,35,31,0,0,1,0
MO,52,21,31,0,0,0,0
MT,4,0,4,0,0,0,0
NE,10,1,6,3,0,0,0
NV,81,31,41,8,0,1,0
NJ,13,6,7,0,0,0,0
NM,2,0,2,0,0,0,0
NY,1,1,0,0,0,0,0
NC,188,103,71,3,10,1,0
OH,195,98,90,3,2,2,0
OK,93,34,51,3,5,0,0
OR,33,3,26,2,1,0,1
PA,232,141,71,18,0,2,0
SC,71,38,33,0,0,0,0
SD,4,0,4,0,0,0,0
TN,108,43,60,1,2,2,0
TX,404,167,124,109,0,4,0
UT,9,1,6,1,1,0,0
VA,22,12,10,0,0,0,0
WA,9,4,5,0,0,0,0
WY,2,0,2,0,0,0,0
Federal,41,24,16,0,1,0,0
Military,9,6,2,0,0,1,0
