state,total,black,white,latino/a,native american,asian,unknown
AL,193,95,96,2,0,0,0
AZ,125,13,89,20,3,0,0
AR,37,23,14,0,0,0,0
CA,657,234,253,135,13,22,0
CO,2,1,0,1,0,0,0
CT,8,3,3,2,0,0,0
DE,17,6,8,3,0,0,0
FL,396,139,220,35,1,1,0
GA,107,50,53,3,0,1,0
ID,20,0,20,0,0,0,0
IL,10,2,5,3,0,0,0
IN,24,8,16,0,0,0,0
KS,8,3,5,0,0,0,0
KY,38,8,29,1,0,0,0
LA,87,55,29,2,0,1,0
MD,8,5,3,0,0,0,0
MS,66,35,30,0,0,1,0
MO,51,21,30,0,0,0,0
MT,4,0,4,0,0,0,0
NE,10,1,6,3,0,0,0
NV,79,29,41,8,0,1,0
NJ,12,6,6,0,0,0,0
NM,2,0,2,0,0,0,0
NY,1,1,0,0,0,0,0
NC,188,100,73,4,10,1,0
OH,195,97,91,3,2,2,0
OK,91,34,49,3,5,0,0
OR,33,3,26,2,1,0,1
PA,228,139,69,18,0,2,0
SC,71,39,32,0,0,0,0
SD,4,0,4,0,0,0,0
TN,107,43,59,1,2,2,0
TX,401,168,123,106,0,4,0
UT,9,1,6,1,1,0,0
VA,21,11,10,0,0,0,0
WA,9,4,5,0,0,0,0
WY,2,0,2,0,0,0,0
Federal,43,24,18,0,1,0,0
Military,9,6,2,0,0,1,0
