state,total,black,white,latino/a,native american,asian,unknown
AL,203,95,106,2,0,0,0
AZ,126,13,91,19,3,0,0
AR,40,25,15,0,0,0,0
CA,667,239,251,143,12,22,0
CO,2,1,0,1,0,0,0
CT,9,5,3,1,0,0,0
DE,19,9,7,3,0,0,0
FL,397,137,222,36,1,1,0
GA,107,49,54,3,0,1,0
ID,19,0,19,0,0,0,0
IL,13,5,6,2,0,0,0
IN,19,6,13,0,0,0,0
KS,9,4,5,0,0,0,0
KY,39,7,31,1,0,0,0
LA,88,55,30,2,0,1,0
MD,6,4,2,0,0,0,0
MS,64,33,30,0,0,1,0
MO,48,20,28,0,0,0,0
MT,2,0,2,0,0,0,0
NE,10,1,5,4,0,0,0
NV,77,28,40,8,0,1,0
NM,2,0,2,0,0,0,0
NC,173,91,67,4,10,1,0
OH,188,96,85,3,2,2,0
OK,84,34,43,3,4,0,0
OR,35,3,28,2,1,0,1
PA,228,136,71,19,0,2,0
SC,63,36,27,0,0,0,0
SD,3,0,3,0,0,0,0
TN,102,42,55,1,2,2,0
TX,373,153,111,104,0,5,0
UT,9,1,6,1,1,0,0
VA,21,13,8,0,0,0,0
WA,9,4,5,0,0,0,0
WY,2,0,2,0,0,0,0
Federal,51,28,20,2,1,0,0
Military,9,6,2,0,0,1,0
