State,Total,Black,White,Latino/a,Native American,Asian,Unknown
AL,201,97,100,3,0,1,0
AZ,132,14,91,23,4,0,0
AR,42,25,17,0,0,0,0
CA,694,251,252,157,12,22,0
CO,3,2,0,1,0,0,0
CT,10,6,3,1,0,0,0
DE,19,9,7,3,0,0,0
FL,395,136,220,36,1,2,0
GA,108,52,52,3,0,1,0
ID,18,0,18,0,0,0,0
IL,15,5,8,2,0,0,0
IN,16,4,12,0,0,0,0
KS,10,4,6,0,0,0,0
KY,36,6,29,1,0,0,0
LA,84,54,26,3,0,1,0
MD,5,4,1,0,0,0,0
MS,59,31,27,0,0,1,0
MO,52,22,30,0,0,0,0
MT,2,0,2,0,0,0,0
NE,11,2,5,4,0,0,0
NV,78,31,38,8,0,1,0
NH,1,1,0,0,0,0,0
NM,2,0,2,0,0,0,0
NC,169,89,66,4,9,1,0
OH,170,86,77,3,2,2,0
OK,85,34,43,3,5,0,0
OR,33,3,26,2,1,0,1
PA,223,134,69,18,0,2,0
SC,63,33,29,1,0,0,0
SD,3,0,3,0,0,0,0
TN,90,39,46,1,2,2,0
TX,339,132,104,99,0,4,0
UT,10,1,6,2,1,0,0
VA,16,7,8,1,0,0,0
WA,9,4,5,0,0,0,0
WY,1,0,1,0,0,0,0
US Gov.,58,31,22,4,1,0,0
Military,8,6,1,0,0,1,0
TOTAL,3270,1355,1452,383,38,41,1
