State,Total,Black,White,Latino/a,Native American,Asian,Unknown
AL,205,98,105,2,0,0,0
AZ,130,13,93,20,4,0,0
AR,42,26,16,0,0,0,0
CA,672,240,253,145,12,22,0
CO,2,1,0,1,0,0,0
CT,10,6,3,1,0,0,0
DE,19,9,7,3,0,0,0
FL,399,138,223,36,1,1,0
GA,107,48,55,3,0,1,0
ID,18,0,18,0,0,0,0
IL,14,5,7,2,0,0,0
IN,18,5,13,0,0,0,0
KS,10,4,6,0,0,0,0
KY,38,6,31,1,0,0,0
LA,86,53,29,3,0,1,0
MD,6,4,2,0,0,0,0
MS,63,33,29,0,0,1,0
MO,50,22,28,0,0,0,0
MT,2,0,2,0,0,0,0
NE,10,1,5,4,0,0,0
NV,80,31,40,8,0,1,0
NM,2,0,2,0,0,0,0
NC,169,89,66,4,9,1,0
OH,184,95,82,3,2,2,0
OK,86,35,44,3,4,0,0
OR,35,3,28,2,1,0,1
PA,226,136,71,17,0,2,0
SC,62,35,27,0,0,0,0
SD,3,0,3,0,0,0,0
TN,97,41,51,1,2,2,0
TX,367,149,111,102,0,5,0
UT,10,1,6,2,1,0,0
VA,20,10,9,1,0,0,0
WA,9,4,5,0,0,0,0
WY,2,0,2,0,0,0,0
US Gov.,53,29,21,2,1,0,0
Military,9,6,2,0,0,1,0
TOTAL,3315,1376,1495,366,37,40,1
